Name,Muhammad Mohib
ID,6524
Shift,Evening
Designation,Receptionist
Father's Name,Qazi Muhammad Tayyab
Father's Mobile,684531
Father's Email,653412iyhb@gmail.com
Next Of Kin : Name,ikbjn
Next Of Kin : Mobile,653412
Next Of Kin : Email,654312dxwsj@gmail.com
Mobile #,96451
Gender,Male
Date Of Birth,2022-08-18
Telephone,65312
Address,lkncd635421xc
Postal Code,46000
Email,vfbjk653@gmail.com
G.P's Name,bjk6541
G.P's Telephone,6453210
Description / Resume / Comments,Brilliant guy
18 : 8 : 2022,PRESENT
18 : 8 : 2022,ABSENT
18 : 8 : 2022,PRESENT
18 : 8 : 2022,ABSENT
18 : 8 : 2022,PRESENT
18 : 8 : 2022,PRESENT
18 : 8 : 2022,PRESENT
18 : 8 : 2022,ABSENT
18 : 8 : 2022,ABSENT
18 : 8 : 2022,ABSENT
